year,month,prefix,title,type,creator,review
2023,Jun,,This is How You Lose the Time War,draft,Max Gladstone,book
2023,Jul,,Hunters of Dune,draft,Brian Herbert & Kevin J Anderson,book
2023,Aug,,Mythago Wood,draft,Robert Holdstock,book
2023,Sep,The,Nakano Thrift Shop,draft,Hiromi Kawakama,book
2023,Oct,,Senlin Ascends,draft,Josiah Bancroft,book
2023,Oct,,Arms of the Sphinx,draft,Josiah Bancroft,book
2023,Oct,,All Slow  horses books,draft,Mick Herron,books
2023,Nov,,The Raging Storm,draft,ann-cleeves,books
2023,Nov,,The Rising Tide,draft,ann-cleeves,books
